variant,images,valid_dice_images,ostia_success_rate,mean_dice,mean_dice_before_morphology,median_dice_before_morphology,mean_dice_after_morphology,mean_dice_morphology_delta,median_dice_morphology_delta,mean_recall_before_morphology,mean_recall_after_morphology,mean_precision_before_morphology,mean_precision_after_morphology,median_dice,std_dice,mean_dice_success_ostia,zero_dice_rate,processed_limit_hit_rate,candidate_limit_hit_rate,error_count,mean_vesselness_seconds,mean_segmentation_seconds,mean_morphology_seconds
rg_gamma70__current_c3_d2,30,30,0.9333333333333333,0.6033248525533625,0.2812322970672299,0.30712544130003294,0.6033248525533625,0.32209255548613264,0.33420084106426284,0.16902409275620883,0.5522336562612238,0.8896069102106926,0.7009828588876061,0.648521617037102,0.15184365378043857,0.6292727402146883,0.03333333333333333,0.0,0.0,0,0.37459984410027874,0.0501392319668715,1.6901959411335459
rg_gamma65__current_c3_d2,30,30,0.9333333333333333,0.6024651693419557,0.2949744298699994,0.3238461011342386,0.6024651693419557,0.3074907394719563,0.3254888890146161,0.18051064914179574,0.5764143132077005,0.8545010881219075,0.6627389880060738,0.6468177834092089,0.1526183645565141,0.6284471734677693,0.03333333333333333,0.0,0.0,0,0.37609024246667105,0.055938207666622476,1.6881244407003881
fc_floor_020__current_c3_d2,30,30,0.9333333333333333,0.6006360045208569,0.3505393629024897,0.37050174841939726,0.6006360045208569,0.25009664161836725,0.2598063762434962,0.22361083931151418,0.6007740615457791,0.8553032863154701,0.6269300096536152,0.6397104025554998,0.1459093073021674,0.6264998035203414,0.03333333333333333,0.0,0.6333333333333333,0,0.38266487819989076,1.6693083229999806,1.6924374429331996
fc_floor_022__current_c3_d2,30,30,0.9333333333333333,0.6000310288345129,0.3526071882825361,0.37597889461755307,0.6000310288345129,0.24742384055197678,0.2572046698710277,0.2255547806297726,0.6038666378191223,0.8522994555405536,0.6228880501549635,0.6382921289496541,0.14591318374503817,0.6258818137196627,0.03333333333333333,0.0,0.4,0,0.38266487819989076,1.662804419133196,1.700569419433547
fc_alpha_018__current_c3_d2,30,30,0.9333333333333333,0.5999427069457207,0.3254315910268046,0.35416134469114935,0.5999427069457207,0.27451111591891625,0.28376442289062614,0.20183936597246185,0.5663585916050574,0.8881510659581257,0.669049077259189,0.6385961209639887,0.14965359725440136,0.6256011488845373,0.03333333333333333,0.0,0.7333333333333333,0,0.38266487819989076,1.4985401248998338,1.6972075474002244
rg_gamma60__current_c3_d2,30,30,0.9333333333333333,0.5995065717293807,0.3072267177489446,0.33617139913091804,0.5995065717293807,0.2922798539804362,0.30680154111750496,0.19127840984086972,0.5962411173698394,0.8322008198802425,0.6350341557995053,0.6377832369439085,0.15039867822605432,0.6255712877431874,0.03333333333333333,0.0,0.0,0,0.3842078046000097,0.05956270606645073,1.6923572734001937
fc_floor_022_alpha_018__current_c3_d2,30,30,0.9333333333333333,0.5976644987149509,0.3279665954002889,0.357160506894512,0.5976644987149509,0.26969790331466204,0.2786501135682341,0.20439609628553462,0.5699105286310355,0.8786688003677265,0.6601167774535417,0.6378146278435537,0.15035903477338083,0.6231991462186972,0.03333333333333333,0.0,0.4,0,0.38266487819989076,1.5099324265002603,1.698463079132974
fc_current__current_c3_d2,30,30,0.9333333333333333,0.5961503403258237,0.34519446689589117,0.3694723514729259,0.5961503403258237,0.2509558734299325,0.2620189874482132,0.21958956562526236,0.59249237854908,0.857542651877268,0.631163254061694,0.6403448730658845,0.14864162626289548,0.6216688688902801,0.03333333333333333,0.0,0.7333333333333333,0,0.38266487819989076,1.6464527564002007,1.6974532366333732
fc_floor_024__current_c3_d2,30,30,0.9333333333333333,0.5957063767522368,0.35325279533457876,0.3776145831366283,0.5957063767522368,0.242453581417658,0.2522374143547078,0.22705903680983,0.6057087514338545,0.839442299931378,0.6119310992197284,0.6367821933752285,0.1459124493320557,0.6212637711224808,0.03333333333333333,0.0,0.26666666666666666,0,0.38266487819989076,1.6768829949669453,1.691875497266786
rg_gamma55__current_c3_d2,30,30,0.9333333333333333,0.5936679771959038,0.32230206908973513,0.35674230485297453,0.5936679771959038,0.2713659081061686,0.2972502013940286,0.20537537505900083,0.6234367030139719,0.8056980773500348,0.6009760316265097,0.627676927237818,0.15190235086984757,0.619379236166288,0.03333333333333333,0.0,0.0,0,0.38266487819989076,0.06572480010036089,1.686749384100282
fc_floor_022__closing_c3_d1,30,30,0.9333333333333333,0.5503721640446707,0.3526071882825361,0.37597889461755307,0.5503721640446707,0.1977649757621345,0.21430474239852745,0.2255547806297726,0.4353802029183584,0.8522994555405536,0.7887184781067712,0.5944048610484793,0.14135622139176052,0.575116621707112,0.03333333333333333,0.0,0.4,0,0.38266487819989076,1.662804419133196,1.454763898499732
fc_floor_022__conservative_c2_d1,30,30,0.9333333333333333,0.5497252276102561,0.3526071882825361,0.37597889461755307,0.5497252276102561,0.19711803932771996,0.21354109351524708,0.2255547806297726,0.43269151318637655,0.8522994555405536,0.7924921969253557,0.5926839273944835,0.14065062805538356,0.5744336503357829,0.03333333333333333,0.0,0.4,0,0.38266487819989076,1.662804419133196,0.5681906333002795
fc_floor_020__closing_c3_d1,30,30,0.9333333333333333,0.5488674534475012,0.3505393629024897,0.37050174841939726,0.5488674534475012,0.19832809054501152,0.21489288179736482,0.22361083931151418,0.43208737183983553,0.8553032863154701,0.7925462652030936,0.5936449877004939,0.14079318277267383,0.5735107030782745,0.03333333333333333,0.0,0.6333333333333333,0,0.38266487819989076,1.6693083229999806,1.457082157433615
fc_floor_024__closing_c3_d1,30,30,0.9333333333333333,0.5487813667909928,0.35325279533457876,0.3776145831366283,0.5487813667909928,0.195528571456414,0.21314951454049477,0.22705903680983,0.43759586399099065,0.839442299931378,0.7756201521384551,0.5949571107375258,0.14151015683517734,0.573392784343692,0.03333333333333333,0.0,0.26666666666666666,0,0.38266487819989076,1.6768829949669453,1.4563666080002198
fc_floor_020__conservative_c2_d1,30,30,0.9333333333333333,0.5482862600520421,0.3505393629024897,0.37050174841939726,0.5482862600520421,0.19774689714955238,0.21430900140495457,0.22361083931151418,0.42958176494323536,0.8553032863154701,0.7962464538315907,0.5918930091104532,0.14012338526758036,0.5728966524594981,0.03333333333333333,0.0,0.6333333333333333,0,0.38266487819989076,1.6693083229999806,0.5734685554330402
fc_floor_024__conservative_c2_d1,30,30,0.9333333333333333,0.5482506214391202,0.35325279533457876,0.3776145831366283,0.5482506214391202,0.19499782610454147,0.21235208370108902,0.22705903680983,0.4348651223940943,0.839442299931378,0.7796876857637968,0.5932615345584961,0.1408631027557257,0.57283787739102,0.03333333333333333,0.0,0.26666666666666666,0,0.38266487819989076,1.6768829949669453,0.5723992325998551
fc_current__closing_c3_d1,30,30,0.9333333333333333,0.5425144726467087,0.34519446689589117,0.3694723514729259,0.5425144726467087,0.1973200057508176,0.21538622005082853,0.21958956562526236,0.4251632914543188,0.857542651877268,0.7961550178840219,0.5927986383778414,0.1442408047567862,0.5667170244757157,0.03333333333333333,0.0,0.7333333333333333,0,0.38266487819989076,1.6464527564002007,1.4527650321662804
fc_current__conservative_c2_d1,30,30,0.9333333333333333,0.5419452787453077,0.34519446689589117,0.3694723514729259,0.5419452787453077,0.19675081184941645,0.21484600458005682,0.21958956562526236,0.42271526256366493,0.857542651877268,0.7997743251662418,0.590966109934419,0.14356754681571715,0.5661169127164867,0.03333333333333333,0.0,0.7333333333333333,0,0.38266487819989076,1.6464527564002007,0.5690325586668527
